Protein Accession;Protein Name;Gene ID;Protein Description;MPT896_2690;MPT897_2691;MPT898_2692;MPT899_2693;MPT900_2694;MPT901_2695;MPT902_2696;MPT903_2697;MPT904_2698;MPT905_2699;MPT906_2700;MPT907_2701;MPT908_2702;MPT909_2703;MPT910_2704;MPT911_2705;MPT912_2706;MPT913_2707;MPT914_2708;MPT915_2709
"B5ME19;Q99613";"EIFCL_HUMAN;EIF3C_HUMAN";"EIF3CL;EIF3C";"Eukaryotic translation initiation factor 3 subunit C-like protein;Eukaryotic translation initiation factor 3 subunit C";70.7;82.6047;83.3888;95.3573;134.184;100.0658;91.5533;81.9343;68.6994;123.6121;133.4223;104.18;71.901;85.5214;101.4784;140.1171;112.8084;78.5621;107.4914;97.0112
E9PAV3;NACAM_HUMAN;NACA;Nascent polypeptide-associated complex subunit alpha, muscle-specific form;339.8466;240.1606;708.3997;425.8854;527.6117;293.2563;404.6551;613.8405;356.8299;644.0415;633.1097;386.2383;386.752;605.1755;689.4927;389.8612;512.3514;348.5579;729.347;540.6085
E9PRG8;CK098_HUMAN;C11orf98;Uncharacterized protein C11orf98;165.4698;113.6424;75.7578;148.519;264.6162;439.4664;160.222;136.8318;276.4953;230.3762;64.8546;74.4405;42.7815;97.2592;95.5168;101.9466;66.7113;51.2256;66.5147;88.7199
O00115;DNS2A_HUMAN;DNASE2;Deoxyribonuclease-2-alpha;130.511;143.1501;142.3587;138.2241;140.6466;165.4655;104.7819;109.5859;122.604;180.2541;138.9202;146.5381;170.1581;157.4801;281.8145;248.592;130.0241;177.1206;;293.7216
O00116;ADAS_HUMAN;AGPS;Alkyldihydroxyacetonephosphate synthase, peroxisomal;90.7672;111.0963;159.4804;64.4534;73.2734;;134.6548;161.0281;96.8021;;310.7806;321.7621;141.0171;80.084;146.9248;292.5874;211.599;146.9626;106.3055;135.8927
O00148;DX39A_HUMAN;DDX39A;ATP-dependent RNA helicase DDX39A;120.069;178.3032;276.2328;165.1473;199.1694;155.3539;251.128;339.9826;135.5914;184.0797;306.8376;278.7707;187.1245;112.7099;183.4893;266.918;268.4696;176.2211;182.6048;186.4901
O00151;PDLI1_HUMAN;PDLIM1;PDZ and LIM domain protein 1;197.1081;362.6552;330.1783;172.6409;241.5577;263.6479;327.5013;254.7108;199.7994;253.8979;241.6956;250.73;223.113;173.2321;315.4476;297.575;182.8121;211.3462;157.8888;212.3684
O00154;BACH_HUMAN;ACOT7;Cytosolic acyl coenzyme A thioester hydrolase;130.5327;111.7352;83.031;90.1586;90.6335;59.3094;97.4291;95.242;117.5209;86.238;141.4147;158.3365;144.5076;158.0812;196.8958;183.8902;159.549;158.8286;122.4383;122.72
O00159;MYO1C_HUMAN;MYO1C;Unconventional myosin-Ic;1464.8176;878.1179;455.2331;2018.2893;2782.031;903.3807;697.6929;336.9104;1588.4838;2627.2268;422.1168;409.4323;224.0224;333.7501;600.0808;444.7307;365.874;248.4995;298.6961;439.4284
O00161;SNP23_HUMAN;SNAP23;Synaptosomal-associated protein 23;358.6155;178.8692;102.9489;248.3463;161.8802;309.3728;157.3369;190.3117;231.5138;215.7643;254.6093;177.7744;274.633;184.5342;229.371;404.9487;246.0384;216.6294;181.0019;190.6001
O00170;AIP_HUMAN;AIP;AH receptor-interacting protein;96.6882;121.0775;87.4048;130.1125;170.4146;197.7026;89.2107;61.6752;144.9954;214.4215;88.0553;89.3739;88.9159;93.4332;160.7093;130.2446;105.5722;83.1784;91.7287;96.1879
O00186;STXB3_HUMAN;STXBP3;Syntaxin-binding protein 3;81.944;148.198;122.0942;56.2378;;;147.2093;126.5644;86.2765;97.2788;141.7024;145.1236;71.6615;49.4386;68.6258;173.0487;113.9794;70.8301;63.7519;81.6439
O00194;RB27B_HUMAN;RAB27B;Ras-related protein Rab-27B;80.503;109.0366;82.5613;72.7823;104.9153;;88.9551;101.7312;88.3661;110.3114;84.9917;71.292;62.1331;;;124.059;43.0753;49.2247;;44.345
O00203;AP3B1_HUMAN;AP3B1;AP-3 complex subunit beta-1;164.252;281.7841;246.306;217.8479;217.9392;240.4212;267.4462;277.8771;255.3239;182.5055;446.752;353.5715;370.6164;329.0631;301.3344;432.0702;446.8784;347.3928;332.6222;264.8399
O00214;LEG8_HUMAN;LGALS8;Galectin-8;;124.6398;128.4931;81.9164;;;70.2796;81.2064;60.5342;86.4291;58.8299;46.8075;34.9366;;;83.5534;51.7469;27.0838;;
O00217;NDUS8_HUMAN;NDUFS8;NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial;124.1648;142.686;117.4361;118.6486;;193.3874;134.8985;155.0416;183.4635;129.4361;122.3132;123.745;103.8196;;107.6905;125.2491;111.4075;104.6208;116.9104;80.4696
O00231;PSD11_HUMAN;PSMD11;26S proteasome non-ATPase regulatory subunit 11;103.0653;108.3264;122.934;116.7539;143.2215;143.7083;120.5419;97.6386;97.1537;148.5373;153.0372;126.0594;100.9792;105.8153;129.6738;177.0462;155.775;106.9759;137.3376;93.6389
O00232;PSD12_HUMAN;PSMD12;26S proteasome non-ATPase regulatory subunit 12;;98.5172;89.5026;92.095;168.3872;103.0667;104.5798;110.2772;105.0041;107.9265;147.6522;115.2553;86.6805;;90.0093;145.4544;127.8283;88.0885;;
O00233;PSMD9_HUMAN;PSMD9;26S proteasome non-ATPase regulatory subunit 9;106.952;263.6377;313.7386;151.219;176.1027;184.1268;195.3855;188.5471;222.3557;268.7886;205.8469;165.2188;102.3085;96.4802;105.6351;216.5606;169.8761;125.8629;121.2171;116.1198
O00264;PGRC1_HUMAN;PGRMC1;Membrane-associated progesterone receptor component 1;1250.8663;605.1613;939.7401;873.67;556.2852;1209.1929;693.2411;946.7613;993.6935;881.3755;628.0944;323.3454;474.3596;449.5797;551.0485;743.7845;425.9319;649.2158;466.8198;451.4185
O00267;SPT5H_HUMAN;SUPT5H;Transcription elongation factor SPT5;67.8188;188.9794;135.7866;95.1611;;;120.5913;128.4301;118.2778;96.952;235.6084;191.791;162.9715;139.0762;141.3238;378.9217;210.1429;210.1337;151.4966;153.4462
O00268;TAF4_HUMAN;TAF4;Transcription initiation factor TFIID subunit 4;100.4408;55.5788;53.9469;52.4294;110.572;250.3632;62.74;47.2298;82.3866;133.0616;105.4395;98.6776;49.3945;96.542;193.3918;203.3024;91.0392;59.2939;115.0908;270.2448
O00299;CLIC1_HUMAN;CLIC1;Chloride intracellular channel protein 1;183.9638;193.4481;175.4285;240.78;395.8973;272.8363;163.51;155.3452;271.4525;242.4814;163.4683;188.6688;186.5503;214.6334;242.1646;197.5962;200.5484;187.858;199.0966;146.3104
O00303;EIF3F_HUMAN;EIF3F;Eukaryotic translation initiation factor 3 subunit F;94.1704;105.4191;76.4087;90.7566;182.8386;115.4523;126.6052;75.8329;106.3857;141.9297;93.6315;67.9939;71.3566;77.7501;90.9607;101.2756;97.0456;57.7972;107.188;93.5973
O00330;ODPX_HUMAN;PDHX;Pyruvate dehydrogenase protein X component, mitochondrial;;93.4621;87.3195;41.5881;;244.9221;100.1539;113.2828;50.1531;;105.5442;105.1118;;59.7909;34.6831;84.7153;75.3403;75.7553;62.9384;57.4117
O00391;QSOX1_HUMAN;QSOX1;Sulfhydryl oxidase 1;794.4824;404.7888;405.8803;394.0954;298.5079;728.7707;286.6142;307.1404;295.2684;295.5977;1580.847;1222.7953;1432.9197;1423.4342;1444.0577;1680.1184;1286.8674;1637.7765;1389.1764;1149.7197
O00410;IPO5_HUMAN;IPO5;Importin-5;120.3412;215.1306;116.8682;174.8439;117.3279;115.2558;133.1924;123.0056;109.4444;114.7811;490.5576;504.7895;621.8139;286.8025;333.8387;465.2491;506.2933;765.4105;256.2518;347.4421
O00411;RPOM_HUMAN;POLRMT;DNA-directed RNA polymerase, mitochondrial;161.3397;61.4419;95.5725;84.7118;;;57.4929;73.5976;61.0689;;57.432;77.9524;66.0761;;;73.0518;80.341;86.8742;48.5885;84.0137
O00422;SAP18_HUMAN;SAP18;Histone deacetylase complex subunit SAP18;175.8185;235.9557;233.2777;183.581;126.6793;266.9454;259.1502;273.2529;197.8528;207.9997;132.1154;178.9464;191.9968;135.8229;237.8008;194.2596;157.5128;210.1286;365.0712;320.2101
O00425;IF2B3_HUMAN;IGF2BP3;Insulin-like growth factor 2 mRNA-binding protein 3;1040.8889;1140.8984;1467.926;953.0428;1227.1509;2643.1963;1358.0801;1635.4292;1135.5529;1272.9243;386.1065;2322.9421;2391.4749;3485.4282;4083.7927;558.92;1950.6643;2628.0903;3442.2556;4401.1357
O00443;P3C2A_HUMAN;PIK3C2A;Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit alpha;;;;74.7399;120.1888;;;;87.7857;;;42.7766;58.5559;;;82.4356;38.3953;32.4838;;
O00468;AGRIN_HUMAN;AGRN;Agrin;796.9716;3287.0603;2356.5125;1008.1212;1143.1279;1054.2809;2230.5828;1837.1917;1106.3629;983.1735;984.9657;949.1201;968.6578;526.3378;822.894;1014.4604;848.1301;927.9559;552.0841;472.5602
O00469;PLOD2_HUMAN;PLOD2;Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2;196.1086;273.1548;352.0125;158.8549;180.6849;249.6249;303.0201;319.1842;201.9433;221.5401;61.9061;52.966;42.639;;;69.8367;53.12;58.9294;;59.7824
O00471;EXOC5_HUMAN;EXOC5;Exocyst complex component 5;126.2217;140.2569;62.2718;121.3122;138.9809;131.1745;101.6585;87.3196;120.0584;136.6685;210.7916;218.6848;186.9495;126.5863;158.5329;224.8031;180.0023;284.5489;154.6454;155.7184
O00483;NDUA4_HUMAN;NDUFA4;Cytochrome c oxidase subunit NDUFA4;311.0433;316.7009;535.6461;324.0682;217.5409;312.3214;376.8369;520.6267;578.204;382.3989;147.3992;202.5483;113.7931;126.8886;81.8987;163.7747;139.9544;162.7509;187.2588;161.2267
O00487;PSDE_HUMAN;PSMD14;26S proteasome non-ATPase regulatory subunit 14;60.2141;83.1737;78.6569;81.165;107.9567;72.8316;87.4183;92.5307;83.9764;122.527;104.4311;96.1135;89.4904;75.4376;55.4048;189.9684;101.2334;82.8029;56.871;28.8422
O00505;IMA4_HUMAN;KPNA3;Importin subunit alpha-4;232.5667;298.8973;313.0258;290.5729;309.8657;208.5497;357.8905;242.4882;330.2503;266.6938;383.1887;384.1984;234.0969;459.0057;290.0033;418.065;424.713;227.4111;432.3889;257.2242
O00507;USP9Y_HUMAN;USP9Y;Ubiquitin carboxyl-terminal hydrolase 9Y;49.8352;76.3557;50.4202;70.2601;51.3033;;71.3504;55.6927;40.0497;73.9548;80.5932;76.9655;63.701;58.5898;43.3861;70.8974;79.3936;56.0702;81.9805;67.1923
O00541;PESC_HUMAN;PES1;Pescadillo homolog;5252.7134;2166.2;2755.3323;3470.314;2210.1414;5052.2349;2669.6943;3001.0156;4974.0576;2850.759;1283.7269;964.9578;748.0046;1215.5491;1006.8644;1135.9746;1035.2732;846.0175;1410.5883;1174.239
O00560;SDCB1_HUMAN;SDCBP;Syntenin-1;776.1447;457.8975;905.221;608.7014;575.6135;958.0807;561.5536;808.9839;777.3468;687.912;791.1776;768.0536;909.094;832.9678;1418.9628;688.6258;572.2706;793.6503;1018.8154;1196.1873
O00566;MPP10_HUMAN;MPHOSPH10;U3 small nucleolar ribonucleoprotein protein MPP10;118.372;77.1775;56.0844;47.3339;96.306;234.8163;80.8537;85.7934;77.9624;135.8395;55.6896;65.3734;41.4453;60.3049;95.3097;103.2268;67.27;46.8778;79.7953;97.9255
O00567;NOP56_HUMAN;NOP56;Nucleolar protein 56;517.7359;397.8373;309.8961;476.1931;654.6;568.3068;392.7974;354.0909;601.2029;465.3084;422.5227;332.9399;295.5557;497.6158;376.5721;464.234;332.0037;292.3394;608.7802;378.1779
O00571;DDX3X_HUMAN;DDX3X;ATP-dependent RNA helicase DDX3X;510.4584;1744.5939;1825.5094;706.1821;569.608;451.1907;895.7905;1308.3508;599.1458;550.4727;1595.927;1650.7228;979.0179;635.8036;742.2144;1878.9606;1636.7443;1260.8713;659.6497;522.9499
O00592;PODXL_HUMAN;PODXL;Podocalyxin;738.5353;827.2751;581.9522;1086.698;845.9724;631.0634;577.1913;446.9364;852.6219;951.9248;91.8387;103.0338;132.3756;;155.1263;161.755;171.8528;165.4538;133.6314;192.2946
O00622;CCN1_HUMAN;CCN1;CCN family member 1;1177.9253;3843.3687;5155.625;1217.2817;2508.1042;1827.326;2922.6033;4016.5569;1618.9163;4261.7095;1486.2397;1426.2651;519.0712;762.7395;1172.4979;1927.0756;1495.3972;640.1264;991.2376;1308.479
O00629;IMA3_HUMAN;KPNA4;Importin subunit alpha-3;69.5851;48.6904;54.1209;77.4346;;;53.6822;58.8318;71.4842;57.2532;92.8861;68.1419;57.9169;45.5589;64.3486;102.8162;79.4866;53.4698;46.6898;57.8605
O00712;NFIB_HUMAN;NFIB;Nuclear factor 1 B-type;241.6898;634.3034;530.2025;421.9776;566.9362;;368.5174;423.1462;418.3448;707.423;203.0387;302.0415;153.7151;279.7879;;140.1353;272.3217;182.6877;246.191;406.691
O00716;E2F3_HUMAN;E2F3;Transcription factor E2F3;;63.048;84.2181;49.9769;77.8004;83.5911;90.5022;71.2001;101.0321;;;103.7327;;;;;;;94.3126;
O00743;PPP6_HUMAN;PPP6C;Serine/threonine-protein phosphatase 6 catalytic subunit;90.9489;208.9936;73.6696;122.6089;158.3778;108.8394;113.7092;86.6302;90.9256;190.9282;163.5844;140.3368;96.5548;121.509;108.4417;239.4246;145.3404;95.6805;128.4084;94.0764
O00746;NDKM_HUMAN;NME4;Nucleoside diphosphate kinase, mitochondrial;137.9382;303.0399;488.4331;134.2337;159.9827;130.9297;364.1226;551.9168;117.9102;127.9179;70.2053;40.1308;37.4866;;68.0102;78.2678;37.8051;45.0477;;
O00754;MA2B1_HUMAN;MAN2B1;Lysosomal alpha-mannosidase;48.6889;31.9752;29.6326;41.8374;;179.6966;;37.1343;44.2643;;51.1942;37.1152;37.7425;;;71.3118;29.9947;32.9402;53.3346;19.8419
O00763;ACACB_HUMAN;ACACB;Acetyl-CoA carboxylase 2;85.1866;79.6238;56.2639;115.9115;87.2088;;65.2859;49.2771;76.4479;72.3937;60.5709;48.7994;49.3918;123.9907;87.9204;67.0622;59.1409;55.3353;108.5961;86.1519
O14562;UBFD1_HUMAN;UBFD1;Ubiquitin domain-containing protein UBFD1;;113.8235;93.1742;67.9442;;125.1177;91.362;63.1531;93.6301;;140.5282;136.6055;86.7985;;;129.5367;114.0575;92.3676;52.5631;68.0092
O14617;AP3D1_HUMAN;AP3D1;AP-3 complex subunit delta-1;157.3364;82.0118;77.4234;91.6325;115.4918;100.2719;81.1606;102.5833;93.1756;140.8542;133.3643;128.0973;91.5423;115.3614;107.427;151.3541;143.8896;92.7149;122.1235;123.1551
O14647;CHD2_HUMAN;CHD2;Chromodomain-helicase-DNA-binding protein 2;116.5061;92.7875;70.1688;91.1283;118.1498;144.6196;109.6766;82.1903;91.0964;133.9004;134.5295;129.2896;84.7382;136.0569;136.5836;156.851;130.2957;86.7638;145.7484;164.3992
O14672;ADA10_HUMAN;ADAM10;Disintegrin and metalloproteinase domain-containing protein 10;3917.564;15942.7139;9708.2012;5836.3901;3057.6467;4762.4565;6980.6665;6876.4844;4460.7568;3856.7852;9536.5205;9059.3418;10321.8965;2991.2808;4945.3735;10104.333;8849.166;9843.0537;2924.6829;4033.1399
O14732;IMPA2_HUMAN;IMPA2;Inositol monophosphatase 2;750.6684;123.6323;115.0532;558.5314;180.8585;238.1033;117.7135;126.091;142.5202;162.2215;108.9271;101.0431;276.3242;344.05;237.945;113.9732;122.7037;139.5699;324.364;353.8016
O14735;CDIPT_HUMAN;CDIPT;CDP-diacylglycerol--inositol 3-phosphatidyltransferase;124.9729;92.9694;65.7985;172.078;130.8676;99.1394;89.2143;79.822;89.8332;156.3728;52.5801;43.8633;80.0735;;82.2889;116.6187;47.6422;85.7466;;65.3102
O14737;PDCD5_HUMAN;PDCD5;Programmed cell death protein 5;173.2;220.0475;222.9005;95.6534;110.8426;127.5892;147.997;162.6895;65.0915;118.958;154.434;143.2637;78.7233;;122.3481;204.8608;157.2464;68.2836;69.4002;128.0974
O14744;ANM5_HUMAN;PRMT5;Protein arginine N-methyltransferase 5;339.8218;423.8668;373.2832;739.8325;772.9656;416.2388;374.1767;503.5935;756.2625;830.0802;808.5308;721.6124;593.2333;826.4321;683.8773;913.5557;743.0362;626.9893;838.3911;650.479
O14745;NHRF1_HUMAN;NHERF1;Na(+)/H(+) exchange regulatory cofactor NHE-RF1;166.6572;248.8304;229.425;168.5394;396.0699;189.5383;211.6089;195.427;193.0718;248.4953;637.7993;574.0491;363.001;426.0425;530.6838;641.5071;535.6254;461.0422;368.229;431.5188
O14763;TR10B_HUMAN;TNFRSF10B;Tumor necrosis factor receptor superfamily member 10B;90.0329;367.4421;321.6527;176.8395;;203.2742;213.5677;271.497;145.1731;196.636;248.772;234.9139;194.5518;53.805;;282.0236;241.1404;253.1754;29.3128;51.2257
"O14773;Q5IS74";"TPP1_HUMAN;TPP1_PANTR";TPP1;Tripeptidyl-peptidase 1;2519.3977;2533.7595;1955.9858;5453.3682;;;2540.7231;2858.5339;4204.8154;2265.095;1205.3397;2225.1064;3333.8308;1955.1963;1527.9012;3890.8879;2381.4551;2362.6733;;2736.0107
O14786;NRP1_HUMAN;NRP1;Neuropilin-1;921.216;2176.719;1567.9314;912.4521;968.8193;816.8533;1340.295;1075.0277;996.1415;992.9172;531.8788;483.9394;365.5378;195.213;236.4003;448.751;380.6829;349.9156;221.4241;193.9146
O14793;GDF8_HUMAN;MSTN;Growth/differentiation factor 8;1137.9489;1162.6398;1927.1563;940.5854;1295.4213;1498.0901;1026.4731;1546.9465;1580.0282;1676.3485;176.0363;162.726;84.8092;119.7042;116.4066;243.9849;146.119;74.3055;;
O14818;PSA7_HUMAN;PSMA7;Proteasome subunit alpha type-7;513.2939;203.0502;273.8358;457.1832;279.126;289.8437;174.8279;332.731;303.4845;234.3355;222.5389;183.9126;279.7412;362.6826;159.3521;228.0827;209.3318;198.5416;304.7012;224.6457
O14828;SCAM3_HUMAN;SCAMP3;Secretory carrier-associated membrane protein 3;72.8165;86.9535;44.6252;71.056;48.0892;;64.9429;56.5357;70.4073;;77.51;73.1717;99.674;;50.347;86.3582;77.5452;106.2457;66.062;101.1351
O14893;GEMI2_HUMAN;GEMIN2;Gem-associated protein 2;325.2658;498.5326;565.0778;756.5716;670.486;303.5859;588.6027;513.3794;781.8491;696.0315;302.9436;310.7105;299.6606;769.1898;566.3051;237.5711;331.9218;549.027;957.4441;515.3184
O14907;TX1B3_HUMAN;TAX1BP3;Tax1-binding protein 3;175.1013;118.9272;262.2949;176.0306;291.9694;117.7913;154.2946;261.4537;215.8154;188.4468;94.278;47.5142;75.6299;70.946;;83.0301;36.3683;36.9798;99.8106;88.5958
O14925;TIM23_HUMAN;TIMM23;Mitochondrial import inner membrane translocase subunit Tim23;97.689;125.4874;56.4583;61.4676;140.6596;120.2793;91.5172;62.0452;75.7307;94.6758;65.4583;77.5141;62.6103;22.1405;50.6754;90.2787;56.4068;76.254;53.4409;73.4949
O14929;HAT1_HUMAN;HAT1;Histone acetyltransferase type B catalytic subunit;100.8993;322.2251;182.1194;106.4705;105.1251;108.86;176.1076;121.6465;90.7358;148.0218;430.9612;363.6312;330.4493;96.8709;224.9633;521.9291;372.4869;431.55;131.5152;180.3825
O14936;CSKP_HUMAN;CASK;Peripheral plasma membrane protein CASK;84.3581;65.8762;49.9611;71.6036;119.2376;79.1418;53.6872;59.5009;80.5579;78.8135;129.9463;120.721;107.2218;102.6269;99.2764;169.3027;114.4338;122.4414;117.012;99.3225
O14939;PLD2_HUMAN;PLD2;Phospholipase D2;217.9238;66.4228;73.3132;106.7117;147.0387;186.7622;93.6409;95.8596;144.1461;102.9088;87.6378;55.7531;58.0586;98.2636;82.8179;66.0297;52.8703;56.4756;84.1897;83.1175
"O14950;P19105";"ML12B_HUMAN;ML12A_HUMAN";"MYL12B;MYL12A";"Myosin regulatory light chain 12B;Myosin regulatory light chain 12A";2103.8542;259.8033;1258.6827;1163.8499;1811.316;1042.2786;739.1915;1695.9742;1544.5488;1733.55;1073.6548;862.5458;760.2873;1743.3049;629.9293;491.5883;981.7693;811.6512;1648.5864;638.3294
O14965;AURKA_HUMAN;AURKA;Aurora kinase A;;58.5638;57.5188;26.3232;;;30.7562;43.375;58.8595;;71.1405;70.7319;42.5029;;;146.8022;114.3993;57.56;47.666;28.085
O14974;MYPT1_HUMAN;PPP1R12A;Protein phosphatase 1 regulatory subunit 12A;185.4765;162.25;177.9712;131.2994;249.5417;153.0822;169.4707;177.4915;154.9962;244.2209;260.3177;290.6124;160.5414;129.2999;283.6624;335.9035;281.39;151.0556;174.3237;222.3259
O14979;HNRDL_HUMAN;HNRNPDL;Heterogeneous nuclear ribonucleoprotein D-like;124.6862;104.8628;175.4353;93.3125;158.4796;122.474;184.2902;168.0281;120.1132;191.9954;375.3801;247.3075;183.7428;256.3444;427.0462;257.4084;193.6372;205.6053;225.9704;258.6112
O14980;XPO1_HUMAN;XPO1;Exportin-1;94.4927;128.6618;60.5702;143.1129;119.1307;137.0114;86.1215;76.8219;100.9531;102.1943;124.8783;106.3819;165.8149;107.3728;106.2949;119.1084;111.6936;190.8138;86.8026;128.3122
O15020;SPTN2_HUMAN;SPTBN2;Spectrin beta chain, non-erythrocytic 2;103.3178;47.7197;36.1728;52.9153;93.7995;83.8701;39.3223;41.5773;62.1286;223.0439;52.9296;54.5309;48.2638;57.9114;43.5483;42.223;47.2563;52.1317;71.3118;50.218
O15027;SC16A_HUMAN;SEC16A;Protein transport protein Sec16A;159.0558;410.2754;185.2853;249.4804;486.6019;192.6122;360.4756;176.1712;161.5348;423.4198;352.341;234.0806;156.0402;136.9042;266.9024;312.5836;264.6964;167.5432;161.5514;174.9582
O15031;PLXB2_HUMAN;PLXNB2;Plexin-B2;1113.8553;1927.0327;1126.6486;1588.1624;1076.4736;1338.3193;1545.1461;1039.4108;1506.2404;1284.1626;2587.0342;2397.7715;2753.4023;1315.2267;1682.2345;2787.5159;2342.8062;2992.8323;1295.5951;1792.3357
O15042;SR140_HUMAN;U2SURP;U2 snRNP-associated SURP motif-containing protein;4183.6968;4665.4702;2985.7549;2617.073;3310.9106;6170.7329;3566.627;2842.0637;3055.3228;3888.9792;6494.9946;4683.0396;3275.7578;3118.0884;4150.1338;5849.9048;5112.8271;3435.2478;2797.7861;4037.4849
O15067;PUR4_HUMAN;PFAS;Phosphoribosylformylglycinamidine synthase;154.8302;129.6895;105.5757;127.2349;;;87.9464;107.2744;213.0601;147.2808;62.0027;62.6162;72.3908;;;102.8238;78.6582;62.8203;;
O15084;ANR28_HUMAN;ANKRD28;Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit A;;79.0624;28.9989;67.7726;134.6066;;66.8032;44.6787;66.826;216.8938;98.4129;87.6052;42.6986;64.9526;62.5766;168.349;86.229;49.1676;53.1379;91.0415
O15143;ARC1B_HUMAN;ARPC1B;Actin-related protein 2/3 complex subunit 1B;77.9102;104.8077;72.0449;176.4126;149.2612;80.1272;143.4928;105.3542;199.3096;203.1383;131.0701;138.4164;175.758;292.5593;158.6723;136.0435;118.7113;113.6834;175.0011;122.3572
O15144;ARPC2_HUMAN;ARPC2;Actin-related protein 2/3 complex subunit 2;231.9731;327.8276;220.3495;487.036;613.7388;222.9501;379.4554;294.0774;544.5554;507.3395;278.4756;272.7646;384.0289;589.0609;448.6268;345.9314;258.3446;224.1929;524.7461;312.0667
O15145;ARPC3_HUMAN;ARPC3;Actin-related protein 2/3 complex subunit 3;499.4445;502.6725;293.6306;764.4523;1026.4778;435.1689;585.4605;342.1852;767.9325;981.9528;564.6242;520.3394;539.1465;876.0646;907.8282;635.6091;469.6667;383.4908;702.5294;480.5245
O15160;RPAC1_HUMAN;POLR1C;DNA-directed RNA polymerases I and III subunit RPAC1;13178.1279;5110.9839;4697.2275;4605.0352;5755.8516;19350.0352;8686.2168;6237.7671;9209.2969;6494.6152;3891.2786;3087.1707;2697.7612;7021.9663;6989.3101;3208.6157;3477.135;2520.54;8918.127;6538.4297
